id,site,is_active,is_new,first_date,last_date,days_online,url,type,nb_units,nb_units_residential,nb_units_commercial,lat,lng,address,city,borough,first_price,last_price,is_price_changed,potential_revenue
17292537,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~chateauguay/17292537?view=Summary,Duplex,2.0,,,45.36528,-73.724089,"284 - 286, Rue Duquette",Châteauguay,,299000.0,299000.0,0,19980.0
15585199,centris,0,1,2020-03-29,2020-04-01,3,https://www.centris.ca/en/triplexes~for-sale~saint-hyacinthe/15585199?view=Summary,Triplex,3.0,,,45.611499,-72.95683299999997,"16010, Rue des Catalpas",Saint-Hyacinthe,,239000.0,239000.0,0,14400.0
23273833,centris,0,1,2020-03-29,2020-04-01,3,https://www.centris.ca/en/4plex~for-sale~saint-jean-sur-richelieu/23273833?view=Summary,Quadruplex,4.0,,,45.30625196,-73.25973849,"251 - 257, Rue Saint-Jacques",Saint-Jean-sur-Richelieu,,539800.0,539800.0,0,33480.0
23406178,centris,0,0,2020-03-29,2020-05-21,53,https://www.centris.ca/en/duplexes~for-sale~saint-hyacinthe/23406178?view=Summary,Duplex,2.0,,,45.61701213,-72.96080144,"3150, Rue Girouard Ouest",Saint-Hyacinthe,,369000.0,350000.0,1,25200.0
27203954,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~saint-jean-sur-richelieu/27203954?view=Summary,Triplex,3.0,,,45.30604059,-73.26453903,"118, Rue Frontenac",Saint-Jean-sur-Richelieu,,349900.0,349900.0,0,25752.0
11099776,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~roxton-falls/11099776?view=Summary,Duplex,2.0,,,45.56937845,-72.52080571,"85 - 87, Rue de la Rivière",Roxton Falls,,179900.0,179900.0,0,8640.0
15894045,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~saint-hyacinthe/15894045?view=Summary,Quadruplex,4.0,,,45.626942,-72.96635,"2800, Rue Turcot",Saint-Hyacinthe,,419000.0,429000.0,1,36600.0
26399601,centris,0,0,2020-03-29,2020-05-20,52,https://www.centris.ca/en/duplexes~for-sale~longueuil-saint-hubert/26399601?view=Summary,Duplex,2.0,,,45.498287,-73.42578,"3235 - 3239, Montée Saint-Hubert",Longueuil,Saint-Hubert,430000.0,430000.0,0,40200.0
20467728,centris,0,0,2020-03-29,2020-05-19,51,https://www.centris.ca/en/4plex~for-sale~vercheres/20467728?view=Summary,Quadruplex,4.0,,,45.771552,-73.357118,"73, Rue Saint-Alexandre",Verchères,,399000.0,399000.0,0,27780.0
22650709,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~sorel-tracy/22650709?view=Summary,Duplex,2.0,,,46.04677066,-73.11276533,"22 - 24, Rue de l'Acadie",Sorel-Tracy,,129000.0,129000.0,0,13200.0
